date,conso_moyenne_mw,conso_max_mw,conso_min_mw,eolien_moyen_mw,solaire_moyen_mw,nucleaire_moyen_mw,temp_france,annee,mois,jour_semaine,is_weekend,is_ferie,is_jour_ouvre,hdd,cdd
2018-01-01,56117.586956521736,63153.0,50629.0,9726.260869565218,329.04347826086956,39150.717391304344,8.34553264604811,2018,1,0,False,True,False,9.65446735395189,0.0
2018-01-02,63102.958333333336,71435.0,51522.0,7132.666666666667,242.3125,52531.1875,8.248969072164948,2018,1,1,False,False,True,9.751030927835052,0.0
2018-01-03,63761.270833333336,72527.0,51616.0,9857.895833333334,240.33333333333334,52614.104166666664,10.894716494845362,2018,1,2,False,False,True,7.105283505154638,0.0
2018-01-04,63169.1875,70292.0,52547.0,9021.541666666666,245.97916666666666,52792.145833333336,11.613638316151205,2018,1,3,False,False,True,6.386361683848795,0.0
2018-01-05,62318.708333333336,69470.0,51535.0,5334.791666666667,346.7916666666667,53464.770833333336,10.082731958762887,2018,1,4,False,False,True,7.917268041237113,0.0
2018-01-06,59227.125,65371.0,50735.0,1935.8333333333333,212.10416666666666,55227.5625,7.905691580756014,2018,1,5,True,False,False,10.094308419243987,0.0
2018-01-07,58761.979166666664,66499.0,50129.0,8347.645833333334,182.02083333333334,51759.583333333336,7.861125429553264,2018,1,6,True,False,False,10.138874570446735,0.0
2018-01-08,67164.83333333333,76799.0,53415.0,4082.2916666666665,287.2291666666667,54858.020833333336,6.719695017182131,2018,1,0,False,False,True,11.280304982817869,0.0
2018-01-09,68683.54166666667,76573.0,57069.0,2625.3125,380.9583333333333,56570.5,6.244823883161512,2018,1,1,False,False,True,11.755176116838488,0.0
2018-01-10,67405.125,75143.0,56240.0,2552.4166666666665,417.2916666666667,57408.708333333336,7.685137457044674,2018,1,2,False,False,True,10.314862542955325,0.0
2018-01-11,68516.16666666667,77318.0,56886.0,1425.2083333333333,434.2291666666667,57320.479166666664,5.872744845360826,2018,1,3,False,False,True,12.127255154639174,0.0
2018-01-12,69889.91666666667,76820.0,58514.0,1166.8333333333333,445.6458333333333,56193.833333333336,5.313573883161513,2018,1,4,False,False,True,12.686426116838486,0.0
2018-01-13,65975.45833333333,72077.0,58145.0,3183.3333333333335,424.2291666666667,54300.541666666664,4.676911512027492,2018,1,5,True,False,False,13.323088487972509,0.0
2018-01-14,63638.5625,70711.0,56476.0,1799.5625,342.3125,54455.75,4.60526202749141,2018,1,6,True,False,False,13.39473797250859,0.0
2018-01-15,70662.41666666667,79106.0,58123.0,7775.479166666667,284.2708333333333,55359.75,6.4708977663230245,2018,1,0,False,False,True,11.529102233676976,0.0
2018-01-16,68532.27083333333,76891.0,57237.0,10042.479166666666,308.7291666666667,55313.979166666664,9.093277491408935,2018,1,1,False,False,True,8.906722508591065,0.0
2018-01-17,70484.10416666667,79657.0,58776.0,9876.729166666666,603.8958333333334,56478.25,6.829080756013746,2018,1,2,False,False,True,11.170919243986255,0.0
2018-01-18,69634.875,76643.0,59844.0,9481.916666666666,394.4791666666667,56306.791666666664,8.321391752577322,2018,1,3,False,False,True,9.678608247422678,0.0
2018-01-19,68817.375,75959.0,57723.0,5235.0625,542.1458333333334,55965.6875,6.962779209621992,2018,1,4,False,False,True,11.037220790378008,0.0
2018-01-20,64436.0,71275.0,57081.0,7006.333333333333,171.52083333333334,54980.791666666664,6.794974226804124,2018,1,5,True,False,False,11.205025773195876,0.0
2018-01-21,59333.958333333336,66372.0,51485.0,4953.416666666667,331.3125,55040.479166666664,8.730283505154638,2018,1,6,True,False,False,9.269716494845362,0.0
2018-01-22,64262.8125,73146.0,51845.0,6719.666666666667,283.75,54875.416666666664,10.595274914089346,2018,1,0,False,False,True,7.404725085910654,0.0
2018-01-23,64893.625,72694.0,53807.0,4930.854166666667,480.7291666666667,56382.958333333336,8.998002577319587,2018,1,1,False,False,True,9.001997422680413,0.0
2018-01-24,63726.145833333336,72140.0,52714.0,7929.541666666667,686.5208333333334,55071.125,10.506701030927834,2018,1,2,False,False,True,7.493298969072166,0.0
2018-01-25,65070.625,73786.0,52928.0,3868.9166666666665,191.70833333333334,56290.791666666664,9.58475085910653,2018,1,3,False,False,True,8.41524914089347,0.0
2018-01-26,66985.75,74066.0,55153.0,1780.375,334.3125,58269.875,6.742697594501719,2018,1,4,False,False,True,11.257302405498281,0.0
2018-01-27,63842.770833333336,69694.0,55931.0,2272.7083333333335,460.375,57936.791666666664,5.64920532646048,2018,1,5,True,False,False,12.35079467353952,0.0
2018-01-28,60005.75,66266.0,53981.0,3837.1875,657.9375,54423.3125,7.226868556701031,2018,1,6,True,False,False,10.773131443298968,0.0
2018-01-29,65833.20833333333,74604.0,53554.0,3949.2083333333335,490.9375,55236.625,8.353973367697595,2018,1,0,False,False,True,9.646026632302405,0.0
2018-01-30,66266.47916666667,74146.0,54802.0,1350.1458333333333,409.6875,55971.3125,7.909536082474228,2018,1,1,False,False,True,10.090463917525772,0.0
2018-01-31,67475.35416666667,76555.0,55086.0,7604.1875,395.1458333333333,55825.625,7.8187500000000005,2018,1,2,False,False,True,10.181249999999999,0.0
2018-02-01,70213.64583333333,79330.0,58400.0,4145.4375,498.9583333333333,57077.270833333336,5.382603092783505,2018,2,3,False,False,True,12.617396907216495,0.0
2018-02-02,72491.27083333333,79678.0,61946.0,3560.1041666666665,688.4791666666666,56896.604166666664,3.5727018900343643,2018,2,4,False,False,True,14.427298109965635,0.0
2018-02-03,67554.95833333333,73046.0,59949.0,1833.0833333333333,530.8541666666666,53839.833333333336,3.5913230240549825,2018,2,5,True,False,False,14.408676975945017,0.0
2018-02-04,66343.6875,74759.0,58515.0,4163.979166666667,677.1041666666666,54488.041666666664,3.2495919243986258,2018,2,6,True,False,False,14.750408075601374,0.0
2018-02-05,77231.02083333333,87041.0,63748.0,4151.5,324.4583333333333,55753.833333333336,2.001932989690722,2018,2,0,False,False,True,15.998067010309278,0.0
2018-02-06,78708.9375,87441.0,66942.0,2944.0,411.1041666666667,55265.604166666664,1.905627147766323,2018,2,1,False,False,True,16.094372852233676,0.0
2018-02-07,80049.0625,88868.0,68613.0,2605.1458333333335,567.0,55682.708333333336,0.30822594501718215,2018,2,2,False,False,True,17.69177405498282,0.0
2018-02-08,80230.20833333333,87449.0,70670.0,1105.8541666666667,613.0625,55716.4375,0.23653350515463906,2018,2,3,False,False,True,17.76346649484536,0.0
2018-02-09,79876.60416666667,87371.0,70868.0,4093.8125,613.2291666666666,56647.666666666664,1.2149484536082475,2018,2,4,False,False,True,16.785051546391752,0.0
2018-02-10,72386.10416666667,77791.0,66833.0,4135.458333333333,925.7291666666666,56237.854166666664,2.450171821305842,2018,2,5,True,False,False,15.549828178694158,0.0
2018-02-11,67135.0,73823.0,61379.0,6942.145833333333,565.75,55477.583333333336,5.013573883161513,2018,2,6,True,False,False,12.986426116838487,0.0
2018-02-12,74370.04166666667,82960.0,63293.0,3073.3541666666665,1180.25,56943.270833333336,2.9668599656357397,2018,2,0,False,False,True,15.03314003436426,0.0
2018-02-13,79028.16666666667,86795.0,68431.0,5792.645833333333,762.25,56952.0,1.8161512027491404,2018,2,1,False,False,True,16.18384879725086,0.0
2018-02-14,78045.60416666667,84929.0,68204.0,4418.291666666667,630.0416666666666,56920.25,3.185180412371134,2018,2,2,False,False,True,14.814819587628866,0.0
2018-02-15,71888.64583333333,77569.0,63226.0,4098.9375,499.7916666666667,56578.875,7.874484536082474,2018,2,3,False,False,True,10.125515463917527,0.0
2018-02-16,68817.89583333333,76835.0,59412.0,1283.0208333333333,736.125,56287.1875,7.234643470790378,2018,2,4,False,False,True,10.765356529209622,0.0
2018-02-17,62918.583333333336,68626.0,55498.0,2017.0833333333333,519.0625,51960.875,6.686039518900342,2018,2,5,True,False,False,11.313960481099658,0.0
2018-02-18,62391.958333333336,69131.0,56398.0,1929.625,703.7083333333334,52077.625,4.628457903780069,2018,2,6,True,False,False,13.371542096219931,0.0
2018-02-19,70529.04166666667,78648.0,58554.0,1097.25,652.6458333333334,51396.270833333336,4.654188144329897,2018,2,0,False,False,True,13.345811855670103,0.0
2018-02-20,70390.14583333333,78399.0,59524.0,2760.3958333333335,582.3333333333334,50589.4375,5.619802405498281,2018,2,1,False,False,True,12.38019759450172,0.0
2018-02-21,73132.08333333333,81843.0,61966.0,5012.708333333333,1266.2916666666667,50642.8125,3.109385738831615,2018,2,2,False,False,True,14.890614261168384,0.0
2018-02-22,76916.20833333333,84072.0,66794.0,5898.3125,1141.5833333333333,52217.541666666664,1.6307560137457044,2018,2,3,False,False,True,16.369243986254297,0.0
2018-02-23,77731.45833333333,85491.0,69165.0,5652.791666666667,985.6875,52400.395833333336,1.0174613402061856,2018,2,4,False,False,True,16.982538659793814,0.0
2018-02-24,72350.27083333333,77405.0,66475.0,5905.770833333333,1131.5208333333333,52538.604166666664,1.4808419243986255,2018,2,5,True,False,False,16.519158075601375,0.0
2018-02-25,70274.54166666667,77210.0,63676.0,7453.854166666667,1403.7916666666667,52367.416666666664,1.004810996563574,2018,2,6,True,False,False,16.995189003436426,0.0
2018-02-26,81881.5625,91858.0,70063.0,8075.208333333333,1579.7083333333333,51123.0,-1.806314432989691,2018,2,0,False,False,True,19.80631443298969,0.0
2018-02-27,87012.25,94202.0,78011.0,4342.458333333333,1467.7916666666667,51726.0625,-3.62227233676976,2018,2,1,False,False,True,21.62227233676976,0.0
2018-02-28,89600.08333333333,96272.0,80461.0,7335.354166666667,614.9166666666666,50977.645833333336,-2.7173969072164943,2018,2,2,False,False,True,20.717396907216493,0.0
2018-03-01,84582.27083333333,91064.0,77231.0,8706.770833333334,517.6458333333334,52693.020833333336,2.328157216494845,2018,3,3,False,False,True,15.671842783505156,0.0
2018-03-02,76882.625,84436.0,69475.0,6038.604166666667,1041.9791666666667,52688.75,4.901181271477663,2018,3,4,False,False,True,13.098818728522337,0.0
2018-03-03,66938.27083333333,74514.0,60439.0,3713.2083333333335,1156.1041666666667,51183.25,6.0904853951890034,2018,3,5,True,False,False,11.909514604810997,0.0
2018-03-04,62062.75,68072.0,56648.0,4223.145833333333,706.3958333333334,49898.520833333336,6.987779209621992,2018,3,6,True,False,False,11.012220790378008,0.0
2018-03-05,67215.79166666667,74198.0,57557.0,3259.1041666666665,851.3541666666666,50602.125,7.485674398625431,2018,3,0,False,False,True,10.51432560137457,0.0
2018-03-06,66901.52083333333,74366.0,57469.0,2218.9791666666665,998.3333333333334,51051.833333333336,7.241494845360825,2018,3,1,False,False,True,10.758505154639174,0.0
2018-03-07,67873.16666666667,75076.0,57931.0,5216.0625,1136.3958333333333,51013.041666666664,6.63485824742268,2018,3,2,False,False,True,11.365141752577319,0.0
2018-03-08,67788.1875,74667.0,59810.0,5734.6875,1426.125,50931.479166666664,7.12759879725086,2018,3,3,False,False,True,10.87240120274914,0.0
2018-03-09,64220.479166666664,70378.0,55764.0,3786.3125,777.0,50607.041666666664,9.665399484536083,2018,3,4,False,False,True,8.334600515463917,0.0
2018-03-10,55351.208333333336,61842.0,49532.0,5044.520833333333,690.0208333333334,48542.708333333336,12.344222508591065,2018,3,5,True,False,False,5.655777491408935,0.0
2018-03-11,50928.354166666664,57599.0,45153.0,4354.541666666667,1022.3541666666666,44608.5625,12.288487972508591,2018,3,6,True,False,False,5.711512027491409,0.0
2018-03-12,60062.520833333336,69492.0,47731.0,9012.416666666666,896.5625,48104.291666666664,10.239411512027491,2018,3,0,False,False,True,7.760588487972509,0.0
2018-03-13,62450.020833333336,69219.0,52917.0,4453.958333333333,1162.3333333333333,49999.479166666664,8.622229381443299,2018,3,1,False,False,True,9.377770618556701,0.0
2018-03-14,62423.395833333336,69719.0,54626.0,5172.958333333333,1423.7916666666667,50318.5625,9.007195017182132,2018,3,2,False,False,True,8.992804982817868,0.0
2018-03-15,62012.145833333336,69026.0,51485.0,4650.041666666667,905.1458333333334,48728.208333333336,9.398432130584192,2018,3,3,False,False,True,8.601567869415808,0.0
2018-03-16,61202.208333333336,67702.0,52689.0,1659.9791666666667,1142.3125,48290.270833333336,8.452426975945018,2018,3,4,False,False,True,9.547573024054982,0.0
2018-03-17,59760.916666666664,67104.0,51199.0,2818.5208333333335,947.1666666666666,45959.958333333336,5.54379295532646,2018,3,5,True,False,False,12.45620704467354,0.0
2018-03-18,61730.333333333336,69736.0,54363.0,3415.125,851.7916666666666,46645.9375,3.778823024054983,2018,3,6,True,False,False,14.221176975945017,0.0
2018-03-19,72389.47916666667,81769.0,60071.0,2678.25,971.5416666666666,47887.666666666664,3.1134020618556706,2018,3,0,False,False,True,14.88659793814433,0.0
2018-03-20,74346.77083333333,81092.0,65062.0,6584.708333333333,1165.9583333333333,47892.5625,3.3987972508591064,2018,3,1,False,False,True,14.601202749140894,0.0
2018-03-21,73350.625,80916.0,65657.0,3571.3958333333335,1737.0416666666667,48085.041666666664,3.671713917525773,2018,3,2,False,False,True,14.328286082474227,0.0
2018-03-22,72089.1875,78688.0,64603.0,3652.625,1521.1041666666667,47984.75,4.232302405498282,2018,3,3,False,False,True,13.767697594501719,0.0
2018-03-23,69088.22916666667,75854.0,60804.0,3259.8333333333335,1082.0625,48128.208333333336,5.829188144329898,2018,3,4,False,False,True,12.170811855670102,0.0
2018-03-24,60309.75,67334.0,54828.0,1719.6666666666667,1005.0625,42947.416666666664,7.41161941580756,2018,3,5,True,False,False,10.58838058419244,0.0
2018-03-25,55763.333333333336,61770.0,49766.0,1239.5208333333333,1097.9583333333333,42561.1875,8.2571735395189,2018,3,6,True,False,False,9.7428264604811,0.0
2018-03-26,62077.458333333336,69998.0,51279.0,1879.1458333333333,1066.8125,45630.8125,8.540206185567012,2018,3,0,False,False,True,9.459793814432988,0.0
2018-03-27,64169.270833333336,71353.0,53308.0,5268.958333333333,658.9375,45737.625,8.292010309278352,2018,3,1,False,False,True,9.707989690721648,0.0
2018-03-28,62737.6875,69204.0,52422.0,6337.375,903.75,44900.625,10.195382302405498,2018,3,2,False,False,True,7.804617697594502,0.0
2018-03-29,63105.708333333336,70731.0,53805.0,3356.4166666666665,1320.2708333333333,44782.208333333336,8.204617697594504,2018,3,3,False,False,True,9.795382302405496,0.0
2018-03-30,63157.708333333336,70240.0,53835.0,4256.541666666667,1135.7916666666667,45189.791666666664,7.73208762886598,2018,3,4,False,False,True,10.26791237113402,0.0
2018-03-31,58258.354166666664,64182.0,52334.0,3102.0416666666665,1284.0,44280.375,7.198883161512027,2018,3,5,True,False,False,10.801116838487973,0.0
2018-04-01,54856.958333333336,62390.0,48611.0,3205.375,1557.5416666666667,42716.458333333336,7.9794029209622,2018,4,6,True,False,False,10.020597079037799,0.0
2018-04-02,53712.604166666664,59156.0,48734.0,4851.354166666667,914.6458333333334,42618.3125,10.258204467353952,2018,4,0,False,True,False,7.741795532646048,0.0
2018-04-03,57779.520833333336,64508.0,47116.0,6620.854166666667,987.8333333333334,44486.291666666664,12.487951030927833,2018,4,1,False,False,True,5.512048969072167,0.0
2018-04-04,58139.583333333336,64482.0,48680.0,6571.416666666667,1098.1041666666667,45554.208333333336,11.677835051546394,2018,4,2,False,False,True,6.322164948453606,0.0
2018-04-05,58601.666666666664,65806.0,49697.0,4116.229166666667,1680.8333333333333,45504.041666666664,10.163981958762887,2018,4,3,False,False,True,7.8360180412371125,0.0
2018-04-06,56631.291666666664,65978.0,50544.0,5757.270833333333,1926.8125,44430.979166666664,11.336060996563576,2018,4,4,False,False,True,6.663939003436424,0.0
2018-04-07,48548.270833333336,54792.0,42777.0,4236.541666666667,1065.0416666666667,40196.8125,13.619415807560138,2018,4,5,True,False,False,4.380584192439862,0.0
2018-04-08,45271.520833333336,51390.0,39315.0,1870.1875,711.6875,39632.75,13.253930412371135,2018,4,6,True,False,False,4.746069587628865,0.0
2018-04-09,52922.916666666664,59997.0,41258.0,1645.5416666666667,845.3125,41946.0625,12.191387457044673,2018,4,0,False,False,True,5.808612542955327,0.0
2018-04-10,55150.104166666664,61327.0,45098.0,3307.0416666666665,1085.1666666666667,42874.270833333336,11.424226804123712,2018,4,1,False,False,True,6.5757731958762875,0.0
2018-04-11,56084.833333333336,62621.0,46728.0,2568.7083333333335,854.1875,43004.041666666664,10.931722508591069,2018,4,2,False,False,True,7.0682774914089315,0.0
2018-04-12,56018.5625,62032.0,46148.0,1596.8541666666667,1017.1041666666666,42327.104166666664,10.93107817869416,2018,4,3,False,False,True,7.068921821305841,0.0
2018-04-13,54375.208333333336,61188.0,46656.0,1305.2916666666667,1232.6041666666667,43778.854166666664,11.446112542955328,2018,4,4,False,False,True,6.553887457044672,0.0
2018-04-14,48535.916666666664,55044.0,43090.0,1101.5416666666667,1104.5833333333333,43227.729166666664,12.135502577319587,2018,4,5,True,False,False,5.864497422680413,0.0
2018-04-15,45253.916666666664,51988.0,40457.0,1959.5833333333333,1498.25,41939.020833333336,13.07061855670103,2018,4,6,True,False,False,4.92938144329897,0.0
2018-04-16,51310.875,57773.0,41203.0,1450.8333333333333,1441.8958333333333,43620.3125,12.685567010309276,2018,4,0,False,False,True,5.314432989690724,0.0
2018-04-17,51092.958333333336,57625.0,43605.0,1646.0833333333333,2108.75,43518.9375,14.122508591065293,2018,4,1,False,False,True,3.8774914089347075,0.0
2018-04-18,48493.9375,53815.0,40379.0,2368.5833333333335,2070.875,42938.895833333336,16.32422680412371,2018,4,2,False,False,True,1.675773195876289,0.0
2018-04-19,47315.104166666664,53186.0,38239.0,1931.25,2052.1041666666665,42373.375,17.715335051546393,2018,4,3,False,False,True,0.28466494845360657,0.0
2018-04-20,47236.479166666664,53715.0,37836.0,690.8958333333334,2051.875,42714.916666666664,18.246778350515466,2018,4,4,False,False,True,0.0,0.0
2018-04-21,41829.958333333336,47779.0,35414.0,1138.8333333333333,2050.875,40647.666666666664,18.165592783505158,2018,4,5,True,False,False,0.0,0.0
2018-04-22,39012.3125,44921.0,32874.0,2352.2916666666665,1745.5833333333333,38224.520833333336,17.99647766323024,2018,4,6,True,False,False,0.0035223367697589936,0.0
